a'ishah	அ'யிஷா
diwana	திவானா
dixie	டிக்ஸி
dixmude	டிக்ஸ்முட்
dixon	டிக்சன்
diya	தியா
diyodar	தியோதர்
djembe	டிஜெம்பே
djibouti	டிஜிபௌடி
do ankhen	தோ ஆங்கேன்
do aur do paanch	தோ ஔர் தோ பாஞ்ச்
do badan	தோ பாதன்
do bahadur	தோ பஹதுர்
do chehre	தோ செஹ்ரே
do dishayen	தோ திஷாயென்
do dooni char	தோ தூனி சர்
do gulab	தோ குலாப்
do hawaldar	தோ ஹவல்தார்
do khiladi	தோ கிலாடி
do mastane	தோ மஸ்தானே
do musafir	தோ முசாஃபிர்
do premee	தோ பிரேமீ
do qaidi	தோ கய்தி
do raaste	தோ ராஸ்தே
do shikari	தோ ஷிகாரி
do ustaad	தோ உஸ்தாத்
doane	டோயேன்
dobbelaar	பாப்லார்
dobro	டோப்ரோ
dobry	டாப்ரி
doctor	டாக்டர்
dodbele	தோட்பேலே
dohrighat	தோரிகாட்
doiwala	டோய்வாலா
dolphin	டால்ஃபின்
dolti naiya	டோல்தி நய்யா
dombivili	டோம்பிவிலி
domingarh	தோமிங்கார்
dominic	டோமினிக்
dominican merengue	டாமினிக்கன் மெரென்க்
dominick	டோமினிக்
dominion	டொமினியன்
domino	டொமினோ
dominy	டோமினி
don anurasiri	டான் அனுராசிரி
don juan matus	டான் ஜுவான் மாதுஸ்
donal	டானல்
donald rumsfeld	டொனால்ட் ரம்ஸ்ஃபெல்ட்
donald trump	டொனால்ட் ட்ரம்ப்
donelson	டோனெல்சன்
dong	டாங்
dongare	தோன்கரே
donna	டோனா
donnica	டோனிக்கா
doodh ka karz	தூத் கா கர்ஸ்
door desh	தூர் தேஷ்
door gagan ki chhaon mein	தூர் ககன் கி சஹோன் மெயின்
door ki awaaz	தூர் கி ஆவாஸ்
door wadiyon mein kahin	தூர் வடியோன் மெயின் கஹின்
dooriyan	தூரியான்
doosra aadmi	தூஸ்ரா ஆத்மி
doosri dulhan	தூஸ்ரி துல்ஹன்
dora	டோரா
dorcas	டார்கஸ்
dorel industries	டோரல் இண்டஸ்டிரீஸ்
doris	டோரிஸ்
dorothea	டொரோத்தி
dorothy	டொரோத்தி
dorothy canfield fisher children's book award	டொரோத்தி கேன்ஃபீல்ட் ஃபிஷர் சில்ட்ரன்ஸ் புக் அவார்ட்
dost	தோஸ்த்
dost garibon ka	தோஸ்த் கரிபோன் கா
dostana	தோஸ்தனா
dot	டாட்
dotty	டோட்டி
doug	டாக்
doug walters	டவுக் வால்ட்டர்ஸ்
dougal	டாகல்
dougie marillier	டோகி மரில்லியர்
douglas	டக்ளஸ்
douglas hondo	டக்ளஸ் ஹோண்டோ
doust	டெளஸ்ட்
dow chemical	டொவ் கெமிக்கல்
doyel	டோயல்
dozakh	தோஸாக்
dracula	ட்ராகுலா
drafts	ட்ராஃப்ட்ஸ்
drago	ட்ராகோ
dragon	ட்ராகன்
draper	டிரேபர்
draupadi	த்ரௌபதி
draxis health	டிராக்ஸிஸ் ஹெல்த்
dreadnought	டிரெட்னாட்
dream girl	டிரீம் கேர்ள்
dreama	ட்ரீமா
dripping springs community fellowship	டிரிப்பிங் ஸ்பிரிங்ஸ் கம்யுனிட்டி பெல்லோஷிப்
drupad	த்ருபாத்
dryships	டிரைஷிப்ஸ்
duard	டௌர்த்
duba'ah	டுபாஹ்
dubia	துபியா
dublin	டப்லின்
duddhinagar	துட்டிநகர்
dudhani	டுதானி
dudhia khurd	டுத்தியா குர்த்
dudhwa	தூத்வா
dudwindi	துத்விண்டி
duesseldorf	டேஸ்ஸல்டார்ப்
duganpur	துகான்பூர்
dugdol	துக்டோல்
duggad	டுக்காட்
duguid	டகுயித்
dujanah	டுஜானா
duke	டியூக்
dukh dard	துக் தர்த்
dulhan	துல்ஹன்
dulhan wohi jo piya man bhaye	துல்ஹன் வோஹி ஜோ பியா மன் பாயே
dulip liyanage	துலீப் லியனாகே
dulip samaraweera	துலீப் சமரவீரா
dullahapur	துல்லஹாபூர்
dulon	டுலோன்
dum dum cantonment	டம் டம் கண்டோன்மெண்ட்
dumbarton	டம்பர்டன்
dumbeg	டும்பெக்
dumbra	டும்ப்ரா
dumhal	தும்ஹால்
dummer's war	டும்மெர்ஸ் வார்
dumraon	தும்ராவுன்
duncan	டன்கன்
dundara	துண்டாரா
dundlod	துண்ட்லோட்
dundwara	துண்ட்வாரா
dungar junction	துங்கார் ஜங்ஷன்
dungarpur	தங்கர்பூர்
duniya	துனியா
duniya ka mela	துனியா கா மேளா
duniya kya jane	துனியா கியா ஜானே
duniyadari	துனியாதரி
dunkerque	டன்கர்கியூ
dunn	டன்
dupage	டூபேஜ்
durafe	துராபே
durban	டர்பன்
durdanah	தர்தனா
durga	துர்கா
durga mata	துர்கா மாதா
durga pooja	துர்கா பூஜா
durgaa	துரகா
durgapura	துர்காபூரா
durgesh nandini	துர்கா நந்தினி
durin	துரின்
durrah	துரா
dushyanta	துஷ்யந்தா
dustin	டஸ்டின்
duty	டூட்டி
dvoyanka	த்வோயாங்கா
dwarka	துவாரகா
dwarkaganj	த்வாரகாகஞ்ச்
dwight	த்வைட்
dwijesh	த்விஜேஷ்
dwipavati	த்விபாவதி
dyan	த்யான்
dyani feinstein	ட்யானி ஃபெயின்ஸ்டின்
dyanne	டயானே
dyllis	டய்ல்லிஸ்
dysis	டைசிஸ்
dysprosium	டைஸ்ப்ரோஷியம்
e'jaaz	இ'ஜாஸ்
e'temaad	எ'டிமாத்
e'temad	எ'டிமாத்
eadoin	இயதோயின்
eads	இஎட்ஸ்
eagle	ஈகிள்
earl	ஏர்ல்
earlene	இயர்லீன்
early	ஏர்லி
earnest	ஏர்னஸ்ட்
earth	ஏர்த்
easau	ஈசா
east nimad	ஈஸ்ட் நிமாத்
east siberian	ஈஸ்ட் சைபீரியன்
easter	ஈஸ்டர்
eastwood	ஈஸ்ட்வுட்
eblis	எப்லிஸ்
ecchumati	இச்சுமதி
ecrins	எக்ரின்ஸ்
ectel	எக்டெல்
ed joyce	எட் ஜாய்ஸ்
edakkad	எடக்காட்
edalene	எட்டாலீன்
edda	எட்டா
edgar casey	எட்கர் கேஸி
edger allan poe	எட்கர் ஆலன் போப்
edi murphy	எட்டி மர்ஃபி
edith	ஈடித்
edmonton	எட்மன்டன்
edmund	எட்மன்ட்
edric	எட்ரிக்
edwin	எட்வின்
edythe	ஈடிதி
eeckeren	ஈக்கெரன்
eenadu	ஈயனாடு
eent ka jawab patthar	ஈன்ட் கா ஜவாப் பதார்
eeshvar	ஈஷ்வர்
eeshwar	ஈஷ்வர்
egg buckland keep	எஃக் பக்லாண்ட் கீப்
egypt	எகிப்து
ehsan	இஷான்
ehsanul haque	எஹ்சானுல் ஹக்
eicher	ஐச்சர்
eileen	ஐலீன்
eisa	ஐஸா
ek adhuri kahani	ஏக் அதுரி கஹானி
ek aur khoon	ஏக் ஔர் கூன்
ek baar kaho	ஏக் பார் கஹோ
ek baar muskura do	ஏக் பார் முஸ்குரா தோ
ek baar phir	ஏக் பார் பிர்
ek chadar maili si	ஏக் சதர் மயிலி சி
ek dil sau afsane	ஏக் தில் சௌ அஃப்சனே
ek din aadhi raat	ஏக் தின் ஆதி ராத்
ek din bahu ka	ஏக் தின் பாஹு கா
ek do teen	ஏக் தோ தீன்
ek duje ke liye	ஏக் துஜே கே லியே
ek hi bhool	ஏக் ஹி பூல்
ek jaan hai hum	ஏக் ஜான் ஹை ஹம்
ek jhalak	ஏக் ஜாலக்
ek ke baad ek	ஏக் கே பாத் ஏக்
ek khilari bawan pattey	ஏக் பிலாரி பவன் பட்டே
ek main aur ek tu	ஏக் மெயின் ஔர் ஏக் து
ek naav kinare do	ஏக் நாவ் கினாரே தோ
ek nai ladki	ஏக் நய் லட்கி
ek nai paheli	ஏக் நய் பஹேலி
ek nari ek brahmachari	ஏக் நாரி ஏக் பிரம்மச்சாரி
ek number ka chor	ஏக் நம்பர் கா சோர்
ek paheli	ஏக் பஹேலி
ek phool ek bhool	ஏக் பூல் ஏக் பூல்
ek se bhale do	ஏக் சே பலே தோ
ek teri nishani	ஏக் தேரி நிஷானி
ek tha ladka	ஏக் தா லட்கா
ek thi ladki	ஏக் தி லட்கி
ekachakra	எகாசக்ரா
ekachitt	எகாசித்
ekaksh	எகாக்ஷ்
ekambar	எகாம்பர்
ekambir	எகாம்பிர்
ekanga	எகாங்கா
ekangarsarai	எக்காங்கர்சராய்
ekata	எகாதா
ekatan	எகாதான்
ekavali	எகாவலி
ekchari	ஏக்சாரி
eknath	எக்னாத்
eknath solkar	எக்னாத் சோல்கார்
el horria	எல் ஹோரியா
el potosi	எல் பொடோஸி
el sabinal	எல் சாபினல்
el veladero	எல் வெலாடெரோ
el-arabia	எல்-அரேபியா
el-awra	எல்-ஆவ்ரா
el-marees	எல்-மாரீஸ்
ela	எலா
elaine	எலைனி
elamanur	ஏலமனூர்
elani	எலானி
