AA GALE LAG JA	ஆ கலே லாக் ஜா
COGNOS INCORPORATED	கோக்னாஸ் இன்கார்பரேடட்
COLBERT	கால்பெர்ட்
COLIGNY	கோலிக்னி
COLIN	கோலின்
COLIN COWDREY	கோலின் கவ்டிரே
COLIN CROFT	காலின் க்ராஃப்ட்
COLIN POWELL	காலின் பாவல்
COLLEGE FOOTBALL AWARDS	காலேஜ் ஃபுட்பால் அவார்ட்ஸ்
COLLEGE GIRL	காலேஜ் கேர்ள்
COLLIN	கோலின்
COLLINGSWORTH	காலிங்க்ஸ்வர்த்
COLLINGWOOD	கோலிங்வுட்
COLLINS OBUYA	கோலின்ஸ் ஓபுயா
COLOMBO	கொழும்பு
COLONELGANJ	கொலனேல்கஞ்ச்
COLONIAL HEIGHTS BAPTIST	கலோனியல் ஹைட்ஸ் பேப்டிஸ்ட்
COLTON	கோல்டன்
COLUMBUS	கொலம்பஸ்
COLUSA	கொலுஸா
COMCAST	காம்காஸ்ட்
COMFORT	கம்ஃபோர்ட்
COMMANDO	கமாண்டோ
COMMERZBANK ZENTRALE	காமர்ஸ்பேங்க சென்ட்ரல்
COMMTOUCH SOFTWARE	காம்டச் சாப்ட்வேர்
COMMUNITY OF CHRIST INTERNATIONAL PEACE AWARD	கம்யூனிட்டி ஆஃப் க்றைஸ்ட் இண்டர்நேஷனல் பீஸ் அவார்ட்
COMPASS GROUP	காம்பஸ் குரூப்
COMPUGEN	காம்பூஜென்
CONAKRY	கோனக்ரி
CONAN	கோனான்
CONDE NAST BUILDING	கோன்ட் நாஸ்ட் பில்டிங்
CONDECORACION MIGUEL HIDALGO	காண்டெஷோரேசியன் மிக்வெல் ஹிடால்கோ
CONDOLEEZA RICE	காண்டோலீசா ரைஸ்
CONDORCET	கான்டார்செட்
CONGO	காங்கோ
CONLAN	கோன்லன்
CONLEY	கோன்லி
CONNER	கோனர்
CONNLEY	கோன்லி
CONNOR	கோனர்
CONNOR WILLIAMS	கான்னூர் வில்லியம்ஸ்
CONOCOPHILLIPS	கோனகோபிலிப்ஸ்
CONOR	கோனர்
CONQUEROR	கான்குவரர்
CONROY	கோராய்
CONSOLIDATED MERCANTILE	கன்சாலிடேட்டட் மெர்கன்டைல்
CONSOLIDATED WATER	கன்சாலிடேட்டட் வாட்டர்
CONSTANTINOPLE	கான்ஸ்டன்டினோபிள்
CONSTELLATION	கான்ஸ்டெல்லேஷன்
CONSTELLATION ENERGY	கான்ஸ்டெல்லேஷ்ன் எனர்ஜி
CONSTITUTION	கான்ஸ்டிட்யூஷன்
CONTAINER	கண்டெய்னர்
CONTE VERDE	கான்டி வெர்டி
COPENHAGEN	கோபன்ஹேகன்
COPPER	காப்பர்
CORAL SEA	கோரல் ஸீ
CORALIA	கோராலியா
CORDELIA	கார்டெலியா
COREL CORPORATION	கோரல் கார்ப்பரேஷன்
CORINE	கோரின்
CORINTHIA	கோரின்தியா
CORLISS	கோலிஸ்
CORNELIUS	கார்னெலியஸ்
CORNERSTONE	கார்னர்ஸ்டோன்
CORNISH COLONY MUSEUM	கார்னிஷ் காலனி மியூஸியம்
CORNWALLIS	கார்ன்வாலிஸ்
CORPORATION BANK	கார்ப்பரேஷன் பேங்க்
CORRIE VAN ZYL	கோரி வான் ஜைல்
CORUS GROUP	காரஸ் குரூப்
COSMO	கோஸ்மா
COTTAGE GROVE CHRISTIAN REFORMED	காட்டேஜ் குரோவ் கிறிஸ்டியன் ரிபார்ம்ட்
COTTLE	காட்டில்
COTTON-EYED-JOE	காட்டன்-ஐட்-ஜோ
COUNTRYWIDE FINANCIAL	கன்ட்ரிவைட் ஃபினான்ஷியல்
COURT	கோர்ட்
COURTNEY BROWNE	கோர்ட்னி ப்ரவுன்
COX	காக்ஸ்
COX PLATE	காக்ஸ் ப்ளேட்
CRAIG CUMMING	கிரேய்க் கம்மிங்
CRAIG EVANS	க்ரெய்க் இவான்ஸ்
CRAIG SERJEANT	கிரெய்க் செர்ஜியண்ட்
CRAIG WISHART	க்ரெய்க் விஷார்ட்
CRANFIELD UNIVERSITY	க்ரான்ஃபீல்ட் யூனிவர்சிட்டி
CRAZY	க்ரேஸி
CREDA	க்ரேடா
CREDIT SUSSE	கிரெடிட் சூசே
CRENSHAW	கிரென்ஷா
CREVAN	க்ரேவன்
CRICKET WORLD CUP	கிரிக்கெட் வோர்ல்ட் கப்
CRISPIN	கிரிஸ்பின்
CRONOS GROUP	குரோனோஸ் குரூப்
CROOKHORN REDOUBT	க்ரூக்ஹார்ன் ரீடவுட்
CROQUET	க்ரோக்கெட்
CROSS COUNTRY	க்ராஸ் கண்ட்ரி
CROSS OF VALOUR	க்ராஸ் ஆஃப் வேலர்
CROSSROADS CHRISTIAN CENTER	கிராஸ்ரோட்ஸ் கிறிஸ்டியன் சென்டர்
CROWNHILL FORT	க்ரவுன்ஹில் ஃப்போர்ட்
CRUCELL	குரூசெல்
CRYSTAL GLOBE	க்ரிஸ்டல் க்ளோப்
CRÉDIT AGRICOLE	கிரெடிட் அக்ரிகோல்
CSILLA	சிஸில்லா
CUDDALORE JUNCTION	கூடலூர் ஜங்ஷன்
CUDDALORE PORT	கூடலூர் போர்ட்
CULLEN	குளேன்
CURLING	கர்லிங்
CURRY	கரி
CURT COBAIN	கர்ட் கோபெய்ன்
CUSTER	கஸ்டெர்
CUTLER	கட்லர்
CUTTACK	கட்டாக்
CUTTER	கட்டர்
CYBIL	சிபில்
CYBILL	சிபில்
CYBILLE	சிபில்
CYNARA	சைனாரா
CYPRUS	சைப்ரஸ்
CYRIL	சிரில்
CYTHERIA	சிதெரியா
CZECHOSLOVAKIA	செக்கோஸ்லேவேக்கியா
DA'WUD	தாவுத்
DAAD	டாட்
DAAG	தாக்
DAAKU	தாகு
DAAL MEIN KALA	தால் மெயின் கலா
DAAMLE	தாம்லே
DAANISH	தானிஷ்
DAASI	தாஸி
DAAWAT	தாவத்
DABHADE	தபதே
DABHOLKAR	தபோல்கர்
DABILPUR	தபில்பூர்
DABLI RATHAN	தாப்லி ரத்தன்
DABOLIM	தாபோலிம்
DACAIT	தகயித்
DACHIGAM	டாச்சிகாம்
DADAHUR	டாடாஹுர்
DADASAHEB PHALKE	தாதாசாஹெப் பால்கே
DADI MAA	தாதி மா
DADRI	தாத்ரி
DAEGU NATIONAL MUSEUM	டாயிகு நேஷனல் மியூஸியம்
DAFIYAH	டாஃபியா
DAGABAAZ	தாகாபாஸ்
DAHANA	டஹானா
DAHAR KA BALAJI	தாஹர் கா பாலாஜி
DAHEJ	தஹேஜ்
DAHINA ZAINABAD	தாஹினா ஜாய்னாபாத்
DAHLEEZ	தஹ்லீஸ்
DAI ICHI MUTUAL LIFE INSURANCE	டை இச்சி மியூச்சுவல் இன்ஷூரன்ஸ்
DAILY AIKYA	டெய்லி ஆய்கயா
DAINIK AGRADOOT	டைனிக் அக்ராதூத்
DAINIK JUGASANKHA	டைனிக் ஜுகாசன்கா
DAINIK PURVODAY	டைனிக் புர்வோதே
DAINIK SAMAYIK PRASANGA	டைனிக் சமயிக் பிரசங்கா
DAINIK SONAR CACHAR	டைனிக் சோனார் காசார்
DAKANIYA TALAV	தக்கானியா தலாவ்
DAKAR	தகார்
DAKHINESWAR	தக்கினேஷ்வர்
DAKHLA	தாக்லா
DAKSHATA	தக்ஷதா
DAKU AUR JAWAN	தாக்கு ஔர் ஜவான்
DAKU HASINA	தாக்கு ஹசினா
DAKU KI LADKI	தாக்கு கி லட்கி
DAKU MANSOOR	தாக்கு மன்சூர்
DALADI	தலாடி
DALAI LAMA	டலாய் லாமா
DALASI	தலாசி
DALE FORT	டேல் ஃப்போர்ட்
DALEVILLE BAPTIST	தலேவில்லே பேப்டிஸ்ட்
DALIGANJ	தாலிகஞ்ச்
DALILA	டலிலா
DALIYA	டாலியா
DALLAS MUSEUM OF ART	டல்லாஸ் மியூஸியம் ஆஃப் ஆர்ட்
DALMIA CEMENT	டால்மியா சிமெண்ட்
DALPATPUR	தல்பத்பூர்
DALSINGH SARAI	தால்சிங் சராய்
DALTON	டால்டன்
DALWI	தால்வி
DAMAAD	தமாத்
DAMAN	தமன்
DAMAN AND DEEV	தாமன் தியோ
DAMAN AUR AAG	தமன் ஔர் ஆக்
DAMASCUS	டமஸ்கஸ்
DAMBRIA	டாம்ப்ரியா
DAMIEN FLEMING	டாமியன் ஃபிளெம்மிங்
DAMIEN MARTYN	டாமியன் மார்டைன்
DAMINI	தாமினி
DAMMIKA RANATUNGA	டம்மிக்கா ரனதுங்கா
DAMON	டேமன்
DAMPATI	தம்பதி
DAMUL	தாமுல்
DAN DAVID PRIZE	டான் டேவிட் ப்ரைஸ்
DAN QUAYLE	டான் குவாலே
DAN RATHER	டான் ராதர்
DANA PANI	தனா பாணி
DANAPUR	தானாபூர்
DANCE DANCE	டேன்ஸ் டேன்ஸ்
DANDUPUR	தண்டுபூர்
DANGA FASAD	டங்கா ஃபசாத்
DANIEL DE LEWIS	டேனியல் டி லூயிஸ்
DANIEL ERASMUS	டேனியல் இராஸ்மஸ்
DANIEL VETTORI	டானியல் வெட்டோரி
DANISH KANERIA	தானிஷ் கனேரியா
DANKA	டன்கா
DANKA BUSINESS SYSTEMS	டங்கா பிசினஸ் ஸிஸ்டம்ஸ்
DANNIE HEINEMAN PRIZE	டேனி ஹீன்மேன் ப்ரைஸ்
DANNIELL	டேனியல்
DANNY MORRISON	டானி மோரிஸன்
DANONE INTERNATIONAL PRIZE FOR NUTRITION	டானோன் இண்டர்நேஷனல் ப்ரைஸ் ஃபார் ந்யூட்ரீஷன்
DANSKE BANK GROUP	டான்ஸ்கே பேங்க் குரூப்
DANTEWADA	தன்தேவாதா
DANZON	டான்ஸன்
DAPHNE	டாஃப்னே
DAPODI	தபோடி
DAPPAR	தப்பார்
DARAANG	தரங்
DARAAR	தரார்
DARABAAR	தர்பார்
DARAKHSHAAN	தரக்ஷன்
DARBAR	டர்பார்
DARD	தர்த்
DAREN GANGA	டேரன் கங்கா
DAREN POWELL	டேரன் பாவெல்
DARIEN WAR	டாரியன் வார்
DARINDA	தரிந்தா
DARIUS	டேரியஸ்
DARLA	டார்லா
DARLENE	டார்லீன்
DARLITA	டார்லிதா
DARNARIK	டார்னாரிக்
DARNELL	டார்னேல்
DARPANA	தர்பணா
DARREN SAMMY	டேரன் சமி
DARRIN MURRAY	டாரின் முர்ரே
DARRITOLA	தாரிடோலா
DARRYL	டேரில்
DARWAZA	தர்வாஸா
DARYAPUR	தார்யாபூர்
DARYL TUFFEY	டாரில் டாஃப்பே
DAS	டாஸ்
DASHA	டாஷா
DASHAVTAR	தஷாவ்தார்
DASHEHRA	தஷேரா
DASSAULT SYSTEMS	டசவுல்ட் ஸிஸ்டம்ஸ்
DASUYA	தசூயா
DATAR	ததார்
DATIA	டாதியா
DATIA FORT	டாஷியா ஃப்போர்ட்
DATTATREYA	தத்தாத்ரேயா
DAULAT	தௌலத்
DAUPHIN	டாப்பின்
DAURALA	தௌராலா
DAURAM MADHPURA	தௌரம் மத்பூரா
DAUSNI	தௌஸ்னி
DAVANGERE	தாவங்கேரே
DAVE RICHARDSON	டேவ் ரிச்சர்ட்சன்
DAVE RUNDLE	டேவ் ரண்டில்
DAVENDRA	தேவேந்த்ரா
DAVID BERNARD	டேவிட் பெர்னார்ட்
DAVID CAPEL	டேவிட் காபெல்
DAVID CARPENTER	டேவிட் கார்பெண்டர்
DAVID COLLEY	டேவிட் கோல்லே
DAVID GOWER	டேவிட் கோவெர்
DAVID HEYN	டேவிட் ஹெய்ன்
DAVID JOSEPH	டேவிட் ஜோசஃப்
DAVID MURRAY	டேவிட் முர்ரே
DAVID MUTENDERA	டேவிட் முடேண்ட்ரா
DAVID SMITH	டேவிட் ஸ்மித்
DAVID STEELE	டேவிட் ஸ்டீல்
DAVID TIKOLO	டேவிட் டிக்கோலோ
DAVID WILLIAMS	டேவிட் வில்லியம்ஸ்
DAVINA	டாவினா
DAVIS MUSEUM AND CULTURAL ART	டேவிஸ் மியூஸியம் அண்ட் கல்ச்சுரல் ஆர்ட்
DAWI	டாவி
DAYALPUR	தயாள்பூர்
DAYAMAYEE	தயாமயி
DAYAR-E-HABIB	தயார்-ஏ-ஹபிப்
DAYAVAN	தயாவன்
DAYITA	தயிதா
DAYLE HADLEE	டேல் ஹாட்லீ
DAYTON ART INSTITUTE	டேட்டன் ஆர்ட் இன்ஸ்டிடியூட்
DAZAI OSAMU PRIZE	தசாய் ஒசாமு ப்ரைஸ்
DE MONTFORT UNIVERSITY	டி மாண்ட்ஃபோர்ட் யூனிவர்சிட்டி
DE NIOS STORA PRIS	டி நியாஸ் ஸ்டோரா ப்ரிஸ்
DE ZEVEN PROVINCIEN	டி ஸேவென் புரோவிஷியன்
DEAKIN UNIVERSITY	டீக்கின் யூனிவர்சிட்டி
DEAN	டீன்
DEAN HEADLEY	டீன் ஹெட்லே
DEAN JONES	டீன் ஜோன்ஸ்
DEANDRA	டீன்ந்த்ரா
DEANNA	டீயனா
DEANNE	டீயனே
DEBARI	தேபரி
DEBASHISH	டெபாஷிஷ்
DEBASIS MOHANTY	டெபாஸிஸ் மொஹான்டி
DEBIPUR	தேபிபூர்
DEBRA WINGER	டெப்ரா விங்கர்
DECIMA	டெசிமா
DECLAN	டெக்லன்
DEE	டீ
DEEG	தீக்
DEEKSHAAPATI	தீக்‌ஷாபதி
DEEN	தீன்
DEEN AUR IMAN	தீன் ஔர் இமான்
DEEP	தீப்
DEEP JALTE RAHE	தீப் ஜல்தே ரஹே
DEEPAK CHOPRA	தீபக் சோப்ரா
DEEPAK FERT	தீபக் ஃபெர்ட்
DEEPALI	தீபாலி
DEEPAPRABHA	தீபபிரபா
DEEPENDU	தீபேந்து
DEEPIKA	தீபிகா
DEEPTA	தீப்தா
DEEPTANSHU	தீப்தான்ஷு
DEEPTENDU	தீப்தேந்து
DEEPTI	தீப்தி
DEEPTIMOY	தீப்திமாய்
DEERE	டீரி
DEEVAAN	தீவன்
DEEWAN JEE	தீவான் ஜீ
DEEWANA TERE NAAM KA	தீவானா தேரே நாம் கா
DEFIANT	டிஃப்பியண்ட்
DEGANA JUNCTION	தேகனா ஜங்ஷன்
DEHLO	டெஜ்லோ
DEHRABAD	தேஹ்ராபாத்
DEHRI ON SONE	டெஹ்ரி ஆன் சோனே
DEKALB-PEACHTREE	டெக்கல்ப்-பீச்ட்ரீ
DEKHI TERI BAMBAI	தேக்கி தேரி பம்பாய்
DELANO	டெலேனோ
DELFINA	டெல்ஃபினா
DELHI	டெல்லி
DELHI CANTONMENT	டெல்லி கண்டோன்மெண்ட்
DELHI KISHANGANJ	டெல்லி கிஷன்கஞ்ச்
DELHI PUBLIC SCHOOL INDIRAPURAM	டெல்ஹி பப்ளிக் ஸ்கூல் இந்திரபுரம்
DELHI SAFDARJUNG	டெல்லி சஃப்தார்கஞ்ச்
DELL	டெல்
DELLA	டெல்லா
DELORA	டெலோரா
DELORES	டெலோரெஸ்
DELRAN FIRST UNITED METHODIST	தெல்ரன் ஃபர்ஸ்ட் யுனைடெட் மெதோடிஸ்ட்
DELTA AIR LINES	டெல்டா ஏர்லைன்ஸ்
DEMETER	டிமீட்டர்
DEMETRIA	டெமேட்ரியா
DEMI	டெமி
DEMITRIUS	டெமிட்ரியஸ்
DEMOCRATIE	டெமோகிரேடி
DEMPSTER	டெம்ப்ட்ரஸ்
DENESH RAMDIN	தினேஷ் ராம்தின்
