a	এ
dobh	ডোভ
dobhakol	ডোভাকোল
dobro	ডুব্রো
dodballapur	ডোদবাল্লপুর
dodbele	ডোদবিলি
dodda	ডোডা
dodi	ডোডি
dohara	দোহারা
dohollah	ডোহোলাহ
dohrighat	দোহিঘাট
doiwala	দোইওয়ালা
dola	দোলা
dolan	দোলন
doll	ডল
dolly	ডলি
dom	ডম
dombivili	দোমবিভিলি
domingarh	দমিনগড়
domingo	ডোমংগো
dominguez	ডোমিঙ্গুয়েজ
dominic	ডোমিনি্ক
dominican	ডমিনিকান
dominion	ডোমিনিওন
domino	ডোমিনো
domodedovo	ডোমোদেদোভো
don	ডন
dona	ডোনা
donakonda	ডনাকোন্দা
donald	ডোনাল্ড
dondaicha	ডনদাইছা
donelson	ডোনেলসন
dong	ডং
dongare	ডোঙ্গারে
dongargaon	ডনগারগাঁঙ
dongargarh	ডনগারগড়
donnanview	ডোনানভিউ
donnell	ডনেল
door	ডোর
doot	দূত
doraha	ডোরাহা
dorel	ডোরেল
doria	দোরিয়া
dornakal	ডরনাকাল
dorothy	ডোরোথ
dorpveld	ডর্পবেল্ড
dos	দোস
dosanjh	দোসাঁঝ
doug	ডুগ
doulatali	দৌলতআলি
doulatpur	দৌলতপুর
doull	ডুল্ল
doust	ডোস্ট
dover	ডোভার
dow	ডোও
down	ডাউন
downton	ডনটন
doyen	ডোয়েন
doyle	ডয়েল
drafts	ড্রাফটস
drakes	ড্রাকেস
drama	ড্রামা
dravid	দ্রাভিড
drawing	ড্রয়ং
draxis	ড্রাক্সিস
dreadnought	ড্রেডনট
dreiser	ড্রেইসার
drescher	ড্রেসার
drew	ড্রিউ
drijhoek	ড্রিজহক
dripping	ড্রিপ্পিং
drive	ড্রাইভ
dronachellam	ড্রোনাছিল্লাম
droupadi	দ্রোপদী
drums	ড্রুমস
dryships	ড্রাইসিপস
du	ডু
dua	দোউআ
duaba	দুউয়াবা
duane	দাউনি
duar	দুযার
dubaha	দুবাহা
dubia	দুবিআ
dubula	ডুবুলা
duddhinagar	দুদ্ধিনগর
dudhani	দুধানি
dudhaswar	দুধেশ্বরী
dudheshwar	দুধেশ্বর
dudhia	দুধিযা
dudhubala	দুধুবালা
dudhwakhara	দুধয়াখারা
duduk	ডুডুক
duers	ডুয়েরস
duesseldorf	ডুসেলডর্ফ
duf	ডুফ
duff	ডুফ
duffin	ডুফিন
duganpur	দুগানপুর
dugdol	দুগদল
duggad	দুগ্গাদ
duguid	ডুগাইড
duhita	দুহিতা
dujon	ডুজোন
dukakis	ডুকাকিস
dukari	দুকড়ি
duke	ডিউক
dukh	দুখ
dukhi	দুখী
dukhibala	দুখীবালা
dukhubala	দুখুবালা
dulal	দুলাল
dulalchandra	দুলালচন্দ্র
dulali	দুলালি
dulalibibi	দুলালীবিবি
dulalkrishna	দুলালকৃষ্ণ
dulalkumar	দুলালকুমার
dularani	দুলারাণী
dulari	দুলারী
dulcimer	ডুল্কিমার
duleep	ডুলিপ
duliajan	দুলিয়াজান
dulibala	দুলিবালা
dulirani	দুলীরানী
dullahapur	দুল্লাহপুর
dullewal	দুল্লিওয়াল
dullo	দুল্লো
dulu	দুলু
dumariya	দমারিয়া
dumas	ডাম
dumbeg	ডুম্বেগ
dumhal	ডুমহাল
dummers	ডুমার্স
dumraon	দমরাঁও
duncan	ডুক্যান
dundara	দুনদারা
dundun	ডুন্ডুন
dundwara	দুন্দওয়ারা
dungar	ডানগার
dungarpur	দুনগাপুর
duniyara	দুনিযারা
dunkerque	দুনকারকিউ
duperre	দুপেরে
durafe	দুরাফে
durba	দূর্বা
durban	ডারবান
durg	দুর্গ
durga	দূর্গা
durgabal	দুর্গাবালা
durgabati	দুর্গাবতী
durgabibi	দুর্গাদেবী
durgacharan	দূর্গাচরন
durgadasi	দুর্গাদাসী
durgamoye	দুর্গামযী
durgananda	দুর্গানন্দ
durgapada	দূর্গাপদ
durgapur	দুর্গাপুর
durgapura	দূর্গাপুরা
durgarani	দুর্গারাণী
durgashankar	দুর্গাশংকর
durgauti	দূগাউতি
durjadhan	দূর্য়োধন
durlabh	দুর্লভ
durrani	দুরানি
duskheda	দুসখেদা
dutch	ডাচ
dvoyanka	ডোভোয়াঙ্কা
dwarakanath	দ্বারকানাথ
dwarasingh	দ্বারাসিং
dwarka	দ্বারকা
dwight	ডিউইট
dwijapada	দ্বিজপদ
dwijen	দ্বিজেন
dwiju	দ্বিজু
dyani	ডায়ানি
dyer	ডিএর
dylan	ডিলান
dynamics	ডায়ানেমিক
dyson	ডিসন
dysprosium	ডিসপ্রোসিয়াম
e	এ
eads	ইয়াদস
eagle	এগ্লে
ealham	এলহ্যাম
earth	আর্থপৃথিবী
east	ইষ্ট
eastern	ইস্টার্ন
eastland	ইস্টল্যান্ড
eastman	ইষ্টমন
ebadulla	এবাদুল্লা
eben	ইবেন
ebrahim	এব্রাহিম
echo	ঈকো
ecrins	এক্রিন্স
ectel	ইকটেল
edakkad	এদাক্কাদ
eddie	এডিল
eddo	ইডো
edgecombe	এজকম্বে
edinburg	এডিনবার্গ
edinburgh	এডেনবার্গ
edmonds	এডমোন্ডস
edmonton	এডমন্টোন
edrich	এডরিচ
edward	এডওয়ার্ড
edwards	এডওয়ার্ড
eenadu	ইএনাডু
effie	ঈফিয়ে
effingham	এফিনগাম
efford	এফোর্ড
egebergs	এগবের্গস
egmore	এগমোড়
egyptian	ইজিপ্টিয়ান
ehsanul	ঈসানুল
eifel	আইফেল
einstein	আইনস্টাইন
eisner	ইজনার
ekangarsarai	একানগারসারাই
ekchari	একছারি
ekeswar	একেশ্বর
ekkribala	এককড়িবালা
eknath	একনাথ
ekramuddin	এক্রামুদ্দিন
ekramulhok	একরামুলহক
eksteen	এস্টিন
ekteshwar	একতেশ্বর
el	এল
ela	এলা
elahi	ইলাহি
elamanur	এলামানুর
elbit	এলবিট
elburz	এলবুর্জ
elder	এল্ডার
eldorado	এলডোরাডো
eleanor	এলিয়ানোর
elec	ইলেক
electirc	ইলেকট্রিক
electric	ইলেকট্রিক
electricite	ইলেকট্রিসাইট
electro	ইলেক্ট্রো
electrolux	ইলেকট্রোলাক্স
electronic	ইলেকট্রনিক
electronica	ইলেক্ট্রোনিকা
electronics	ইলেকট্রনিকস
electrosteel	ইলেকট্রোস্টীল
eleftherios	এলেফথেরিওস
elena	এলেনা
elephant	এলিফ্যান্ট
elgi	এলগি
elgon	এলগন
elias	ইলিয়াস
elizabeth	এলিজাবেথ
elk	এল্ক
elkhart	এলখার্ট
elkhorn	এল্কহর্ন
ellamanchili	এল্লামানছিলি
ellenabad	এল্লেনাবাদ
ellesmere	এলসমেয়ার
ellice	এলিস
elliott	এলিট
ellison	ঈলিসন
elong	ইলং
elron	এলরন
elsass	এলসাস
elson	এলসন
eltek	এলটেক
elton	এল্টোন
elworthy	এলওরথি
elxsi	ইলেক্সি
emael	ইমেল
emajuddin	এমাজদ্দিন
emanuele	ইমানুয়েল
emas	এমাস
emdadulhok	এমদাদুলহক
emerald	এমারেল্ড
emery	এমরি
emily	এমিলি
eminent	এমিনেন্ট
emmy	ঈমি
emperor	এম্পেরর
emre	এমরি
enakshi	এনাক্ষী
enamul	ঈনামুল
enamulhak	এনামুলহক
encana	এনকান
endeavour	এন্ডিয়েভার
endesa	এনডেস
engines	ইঞ্জিনস
england	ইংল্যান্ড
english	ইংলিশ
engravings	ইনগ্রাভিঙ্গস
enrico	ইনরিকো
enso	এনসো
enter	এন্টার
enterprises	এন্টারপ্রাইসেস
entertainment	এন্টারটেইনমেন্ট
environement	এনভারমেন্ট
envoy	এনভয়
epirus	ইপিরুস
epson	এপসন
equinox	ইকুইনোক্স
equipments	ইকুইপমেন্টস
erasmus	ইরাস্মুস
erebus	এরেবাস
erhard	এরহার্ড
erhu	ইরহু
erie	ইরিক
erin	এরিন
ernakulam	এরনাকুলাম
ernest	আর্নেষ্ট
ernst	আর্নস্ট
erode	এরোদি
errol	এরোল
ertbrand	আর্টব্রান্ড
erzherzog	আর্ঝারযোগ
esab	ইসাব
escondido	এসকোন্ডিডো
escorts	এসকর্টস
esha	এষা
eskalis	এসকালিস
espada	স্পাডা
essel	এসেল
esser	ঈসার
establishment	এস্টাব্লিশম্যান্ট
ester	ঈস্টার
estes	এস্টেস
estonian	এস্টোনিয়ান
estrella	এস্ট্রেলা
eta	এটা
etah	এতাহ
etalan	ঈটাল্যান
etawah	এটাহ
ethan	ইথান
ethiopian	ইথিওপিয়ান
ethnology	ইথনোলোজি
etimonbibi	এতিমনবিবি
etna	এতনা
etosha	এতোশা
eudora	ইউডোরা
eugen	ইউজেন
euris	ইউরিস
euro	ইউরো
eurohypo	ইউরোহাইপো
europa	ইউরোপ
european	ইউরোপিয়ান
europium	উইরোপিয়াম
eurotrust	ইউরোট্রাস্ট
evan	ইভান
evangel	ইভাঞ্জেল
evangelical	ইভানজিলিকাল
evangelist	ইভাঞ্জিলিস্ট
evanston	ইভানস্টোন
eveready	এভারেডি
evergreen	এভারগ্রীন
everton	ইভারটোন
ewen	ইয়েন
ewing	ঈউইঙ্ক
excalibur	এক্সক্যালিবার
excel	এক্সেল
excellent	এক্সিলেন্ট
excelsior	এক্সসেলসিওর
exceptional	এক্সসেপশানাল
exelon	এক্সেলন
exeter	এক্সিটার
exfo	এক্সফো
exide	এক্সাইড
exmouth	এক্সমাউথ
explor	এক্সপ্লোর
exports	এক্সপোর্টস
express	এক্সপ্রেস
exupery	এক্সুপেরি
exxon	এক্সোন
eyed	আইড
eyre	আইরি
faakhruddin	ফারুকউদ্দিন
faatete	ফাটেটে
fahim	ফাহিম
faijul	ফাইজুল
faijun	ফইজুন
faisal	ফাইসাল
faisaliah	ফায়সালি
faizabad	ফৈজাবাদ
faizani	ফাইজানি
faizullapur	ফইজুল্লাপুর
fajal	ফজল
fajalhak	ফজলহক
fajarali	ফজরআলি
fajela	ফজেলা
fajila	ফজিলা
fajilakhatun	ফজিলাখাতুন
fajira	ফজিরা
fajlu	ফজলু
fajlul	ফজলুল
fajlun	ফজলুন
fajlurrahaman	ফজলুররহমান
fajruluddin	ফজরুলরহমান
fakhrabad	ফাখরাবাদ
fakhruddin	ফারুকউদ্দিন
fakir	ফকীর
fakirchandra	ফকিরচন্দ্র
fakiruddin	ফকিরুদ্দিন
fakruddin	ফারুকউদ্দিন
falahi	ফালাহি
falakata	ফালাকাটা
falaudi	ফালৌদি
falcon	ফাল্কোন
falewal	ফালেওয়াল
fallon	ফালোন
falwell	ফলওয়েল
family	ফ্যামিলি
fanibhusan	ফণিভূষন
fanie	ফানি
fantasy	ফানটাসী
faoud	ফোড
faqih	ফাকিহ
faqruddin	ফকরুদ্দিন
farah	ফারহ
farandole	ফারান্ডোলা
fareham	ফারেহাম
fargo	ফার্গো
farha	ফরহা
farhad	ফারহাদ
farhan	ফারহান
farhat	ফারহাত
farhedi	ফরহেদি
farid	ফরিদ
farida	ফরিদা
faridabadi	ফারিদাবাদি
faridabegam	ফরিদাবেগম
faridakhatun	ফরিদাখাতুন
faridkot	ফরিদকোট
fariduddin	ফরিদউদ্দিন
farjan	ফরজন
farjana	ফারজানা
farlington	ফালিংটন
farm	ফার্ম
farman	ফরমান
faro	ফারো
farokh	ফারুক
farragut	ফারাগুট
farrakhan	ফারাখান
farrar	ফারার
